method,window_length,polyorder,fidelity_error,speed_p95,acceleration_p95,acceleration_max,jerk_p95,feasible_candidate_count,selected_task_count,margin_sum,selected_task_ids
cubic_savgol,5,2,0.025118827431339218,7.350679775866954,14.198564253109875,28.040486475653857,49.490714952148636,0,0,0.0,
cubic_savgol,5,3,0.025076940624941205,7.350679775866968,14.198564253110034,28.0404864756538,49.49071495214806,0,0,0.0,
cubic_savgol,7,2,0.08115896347382788,7.294457672628704,13.46536064672252,26.07187265016124,45.63798303915042,0,0,0.0,
cubic_savgol,7,3,0.08099330831175945,7.297346997242833,13.470720035030551,26.071872650160874,45.637983039150576,0,0,0.0,
cubic_savgol,9,2,0.14821858420243603,7.235057655987207,12.328915272918948,22.855105575379245,39.97703905876632,0,0,0.0,
cubic_savgol,9,3,0.14773019000187057,7.246853277127588,12.502822751347615,22.855105575379074,40.06077752371461,0,0,0.0,
cubic_savgol,11,2,0.20795332888939796,7.168676039967315,11.094716519162555,18.666823224950438,33.399580006357844,0,0,0.0,
cubic_savgol,11,3,0.2074068222780839,7.173147608132451,11.105355341001214,18.66682322495024,33.434760721269676,0,0,0.0,
cubic_savgol,15,2,0.2903638108605717,6.986975411052709,6.569755725349777,9.675954114996442,15.86981194959412,0,0,0.0,
cubic_savgol,15,3,0.2901718343411365,6.986975411052744,6.577487291347331,9.67595411499663,15.871325340194986,0,0,0.0,
cubic_savgol,21,2,0.36745513757326825,6.7164951785047275,4.522355095930399,6.290148289096439,7.998907465162678,54,3,0.49100000000000005,P03拍照|P04拍照|P02拍照
cubic_savgol,21,3,0.3671693929702964,6.716495178504739,4.59027644019904,8.576783959189418,8.067795251601437,54,3,0.49100000000000005,P03拍照|P04拍照|P02拍照
cubic_savgol,31,2,0.43413728601122814,6.532719774535732,3.0553196478769546,4.641516893211028,3.9415698232991496,194,8,1.085,P03拍照|P01拍照|S11射击|P02拍照|S10射击|P05拍照|P07拍照|S12射击
cubic_savgol,31,3,0.4334799891386039,6.532719774535708,3.0540195407845907,4.641516893210979,3.9561790379610096,176,8,0.971,P03拍照|P01拍照|S12射击|P02拍照|S10射击|P08拍照|P04拍照|S11射击
cubic_savgol,41,2,0.5365831655024037,6.424602523506865,2.123825243005683,3.1376764244747513,2.2214069485769743,328,9,2.024,P05拍照|P10拍照|P11拍照|P02拍照|P01拍照|S11射击|S10射击|P08拍照|P04拍照
cubic_savgol,41,3,0.536057799902162,6.42460252350687,2.1427595688060985,5.498327708977036,2.2315719757674275,328,9,2.024,P05拍照|P10拍照|P11拍照|P02拍照|P01拍照|S11射击|S10射击|P08拍照|P04拍照
cubic_savgol,61,2,0.7781706819562513,6.488729766438883,1.2096125238031712,2.0406128106373624,0.8704551996077934,558,9,2.605,P06拍照|P10拍照|P03拍照|P11拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击
cubic_savgol,61,3,0.7756226850836024,6.488729766438879,1.2277021961966428,2.7391834311269423,0.8711927117275012,559,9,2.311,P14拍照|P10拍照|P03拍照|P11拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击
cubic_savgol,81,2,0.9196504812177054,6.4683262317715435,1.0042289218497786,1.3882713308855732,0.5281196686080534,607,9,1.936,S05射击|P11拍照|P10拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击|S12射击
cubic_savgol,81,3,0.9144564652926559,6.468326231771634,1.0341937659646347,1.8140935650924406,0.5287120686681827,607,9,2.278,S05射击|P11拍照|P03拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击|S12射击
pchip_savgol,5,2,0.025118827431339218,7.350679775866954,14.198564253109875,28.040486475653857,49.490714952148636,0,0,0.0,
pchip_savgol,5,3,0.025076940624941205,7.350679775866968,14.198564253110034,28.0404864756538,49.49071495214806,0,0,0.0,
pchip_savgol,7,2,0.08115896347382788,7.294457672628704,13.46536064672252,26.07187265016124,45.63798303915042,0,0,0.0,
pchip_savgol,7,3,0.08099330831175945,7.297346997242833,13.470720035030551,26.071872650160874,45.637983039150576,0,0,0.0,
pchip_savgol,9,2,0.14821858420243603,7.235057655987207,12.328915272918948,22.855105575379245,39.97703905876632,0,0,0.0,
pchip_savgol,9,3,0.14773019000187057,7.246853277127588,12.502822751347615,22.855105575379074,40.06077752371461,0,0,0.0,
pchip_savgol,11,2,0.20795332888939796,7.168676039967315,11.094716519162555,18.666823224950438,33.399580006357844,0,0,0.0,
pchip_savgol,11,3,0.2074068222780839,7.173147608132451,11.105355341001214,18.66682322495024,33.434760721269676,0,0,0.0,
pchip_savgol,15,2,0.2903638108605717,6.986975411052709,6.569755725349777,9.675954114996442,15.86981194959412,0,0,0.0,
pchip_savgol,15,3,0.2901718343411365,6.986975411052744,6.577487291347331,9.67595411499663,15.871325340194986,0,0,0.0,
pchip_savgol,21,2,0.36745513757326825,6.7164951785047275,4.522355095930399,6.290148289096439,7.998907465162678,54,3,0.49100000000000005,P03拍照|P04拍照|P02拍照
pchip_savgol,21,3,0.3671693929702964,6.716495178504739,4.59027644019904,8.576783959189418,8.067795251601437,54,3,0.49100000000000005,P03拍照|P04拍照|P02拍照
pchip_savgol,31,2,0.43413728601122814,6.532719774535732,3.0553196478769546,4.641516893211028,3.9415698232991496,194,8,1.085,P03拍照|P01拍照|S11射击|P02拍照|S10射击|P05拍照|P07拍照|S12射击
pchip_savgol,31,3,0.4334799891386039,6.532719774535708,3.0540195407845907,4.641516893210979,3.9561790379610096,176,8,0.971,P03拍照|P01拍照|S12射击|P02拍照|S10射击|P08拍照|P04拍照|S11射击
pchip_savgol,41,2,0.5365831655024037,6.424602523506865,2.123825243005683,3.1376764244747513,2.2214069485769743,328,9,2.024,P05拍照|P10拍照|P11拍照|P02拍照|P01拍照|S11射击|S10射击|P08拍照|P04拍照
pchip_savgol,41,3,0.536057799902162,6.42460252350687,2.1427595688060985,5.498327708977036,2.2315719757674275,328,9,2.024,P05拍照|P10拍照|P11拍照|P02拍照|P01拍照|S11射击|S10射击|P08拍照|P04拍照
pchip_savgol,61,2,0.7781706819562513,6.488729766438883,1.2096125238031712,2.0406128106373624,0.8704551996077934,558,9,2.605,P06拍照|P10拍照|P03拍照|P11拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击
pchip_savgol,61,3,0.7756226850836024,6.488729766438879,1.2277021961966428,2.7391834311269423,0.8711927117275012,559,9,2.311,P14拍照|P10拍照|P03拍照|P11拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击
pchip_savgol,81,2,0.9196504812177054,6.4683262317715435,1.0042289218497786,1.3882713308855732,0.5281196686080534,607,9,1.936,S05射击|P11拍照|P10拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击|S12射击
pchip_savgol,81,3,0.9144564652926559,6.468326231771634,1.0341937659646347,1.8140935650924406,0.5287120686681827,607,9,2.278,S05射击|P11拍照|P03拍照|P04拍照|P01拍照|P02拍照|S11射击|S10射击|S12射击
