dataset,Delta,bx,by,RMSE,MAE,Huber,points
附件2,-55.494699392324925,3.59167124805838,-1.9252645243732007,1.2630383512038612,1.152790234810169,0.6886801965110121,6950
附件2,-55.44469939232493,3.596109141218912,-1.9255257590944046,1.2549418515092474,1.1450280308696725,0.6814534781997704,6949
附件2,-55.394699392324924,3.589542913595295,-1.919327625260526,1.2459726620525273,1.137049368249317,0.6738413116658136,6949
附件2,-55.34469939232493,3.5827037473964953,-1.9199452185112669,1.2372652656825318,1.1290695946721592,0.6664102947875244,6948
附件2,-55.29469939232492,3.5797800468075276,-1.9204711874732836,1.22872458197114,1.1211482799083994,0.6590395727189096,6948
附件2,-55.244699392324925,3.578800946368446,-1.9143596140007793,1.2201800753882657,1.1133851988751822,0.6516923412783614,6947
附件2,-55.19469939232493,3.5826867669275875,-1.9128521553868492,1.2119810569433132,1.1057053182801608,0.6444752781533011,6947
附件2,-55.144699392324924,3.579851934923841,-1.9117531050597991,1.2035401913671973,1.097995678185293,0.6371843139284005,6946
附件2,-55.09469939232493,3.573956324170161,-1.9112572642133039,1.194948256509246,1.0901268929451622,0.6297824254979845,6946
附件2,-55.04469939232492,3.5757900261226396,-1.9092062874488425,1.1867204819932677,1.0822966378285201,0.6225125016038896,6945
附件2,-54.994699392324925,3.573133519021661,-1.9115390946101982,1.1783544897088518,1.0743780005298769,0.6151490541467102,6945
附件2,-54.94469939232493,3.5573270003492627,-1.909445660599706,1.169427576393087,1.066339557063338,0.607524529268002,6944
附件2,-54.894699392324924,3.553319312939548,-1.906595062986573,1.1609385353890034,1.0582896444106085,0.6000522595420867,6944
附件2,-54.84469939232493,3.552684820111315,-1.8964110549883597,1.1524725718655087,1.0502885786620066,0.5925956223998644,6943
附件2,-54.79469939232492,3.5542033662137955,-1.8933128087582727,1.1442018032378987,1.0421924631211077,0.5852502582075619,6943
附件2,-54.744699392324925,3.549922998331219,-1.8948752170794128,1.1358565494981927,1.034007893685663,0.5779022925430221,6942
附件2,-54.69469939232493,3.5530530559548374,-1.8958883805059634,1.1277395413222373,1.0257142366493055,0.5706828108150537,6942
附件2,-54.644699392324924,3.5569557355523465,-1.8942575144951799,1.1196993253301295,1.0173707652405772,0.5635348578955949,6941
附件2,-54.59469939232493,3.554407591315816,-1.8969624827516323,1.1115733346820753,1.0089537755304194,0.5563583284462479,6941
附件2,-54.54469939232492,3.541724546046894,-1.897479770509721,1.1032720357227708,1.0006182416575609,0.549129963405794,6940
附件2,-54.494699392324925,3.5341268960019363,-1.8970617798429714,1.095320481367475,0.9925094687638809,0.5421355291819772,6940
附件2,-54.44469939232493,3.53224481407474,-1.8966878700941068,1.0876824680799455,0.9846071344235765,0.5353496247844305,6939
附件2,-54.394699392324924,3.5269827141605825,-1.897653993052808,1.0802235733298076,0.9769921091638756,0.5287667861091336,6939
附件2,-54.34469939232493,3.523191437498438,-1.8959200253878252,1.0729027475194295,0.9695290625421097,0.5223433505437386,6938
附件2,-54.29469939232492,3.5186297919557,-1.89318649958972,1.0657138203583285,0.9623213253513487,0.5161221852250486,6938
附件2,-54.244699392324925,3.5185223483578363,-1.8913224115829625,1.0587100865235,0.9554190413652083,0.5100926832209481,6937
附件2,-54.19469939232493,3.5160311508933,-1.8850572574691573,1.0516975694144126,0.9487422405823099,0.5041601624163977,6937
附件2,-54.144699392324924,3.5140014548669374,-1.8851107946220163,1.0449338046851449,0.9423094410583265,0.49846011709529403,6936
附件2,-54.09469939232493,3.516713703878301,-1.8864636333136189,1.0382822548774702,0.9359500371817794,0.4928536905310833,6936
附件2,-54.04469939232492,3.5164338970341795,-1.882430216115417,1.0317770590970885,0.9298279163371356,0.48744890478414293,6935
附件2,-53.994699392324925,3.516287786644689,-1.8833690452543026,1.0254771755307477,0.923739247032925,0.4821833249160861,6935
附件2,-53.94469939232493,3.518943969504874,-1.8796219362403939,1.019429456231912,0.9177174177338172,0.4771098933207552,6934
附件2,-53.894699392324924,3.5124416345769056,-1.8765698944126117,1.013490316455879,0.9116078033956253,0.472165551258162,6934
