seq,event_id,event_type,start_time,execute_time,camera_direction,covered_targets,num_covered_targets,target_angles,speed,acceleration,min_distance,max_distance,margin,fov_degree,new_target_score
1,P_00005,photo,493.55,494.05,-70.0,P10,1,-69.1,1.1132348672598857,0.27715346422207243,29.298184103093053,29.298184103093053,0.15972452004161752,45.0,1.1597245200416175
2,P_00017,photo,494.55,495.05,-5.0,"P03,P04",2,"-6.7,13.6",1.1011943135297888,1.005048052280708,23.147876985313623,33.21243736324832,0.22001258369452897,45.0,2.470012583694529
3,P_00027,photo,508.55,509.05,-80.0,"P01,P02",2,"-80.0,-60.6",0.7492238966865028,0.4063539301558871,29.43789799214466,33.56488614591003,0.21450379513633233,45.0,2.4645037951363324
