model,selected_task_count,coverage_count,nominal_margin_sum,mean_scenario_margin_sum,worst_case_margin_sum,min_task_worst_margin,scenario_feasible_rate,high_risk_task_count,smoothing_stability_score,whether_contains_S04,whether_contains_P10,task_ids,named_high_risk_count,recommendation_rank
R5,9,9,1.73,1.567660521178714,0.5072039543692131,0.0,0.9703703703703704,4,0.9703703703703704,False,True,S06射击|S03射击|P11拍照|P03拍照|P10拍照|P01拍照|P02拍照|S16射击|S15射击,1,1
R7,9,9,1.203,1.567660521178714,0.5072039543692131,0.0,0.9703703703703704,4,0.9703703703703704,True,True,S03射击|S04射击|P11拍照|P03拍照|P10拍照|P01拍照|P02拍照|S15射击|S14射击,2,2
R6_buffered_eps_0.00,9,9,1.087,1.2555421245119942,0.5391950977578843,0.0,0.9407407407407408,5,0.9407407407407408,True,True,S04射击|S05射击|P11拍照|P10拍照|P04拍照|P01拍照|P02拍照|S15射击|S16射击,2,3
R4,9,9,0.634,0.9356622792665541,0.376758128170537,0.0,0.625,10,0.625,False,True,S03射击|P11拍照|P04拍照|P03拍照|P10拍照|P01拍照|P02拍照|S10射击|S12射击,1,4
R3,9,9,1.6729999999999998,1.195442754197681,0.3728895273953052,0.0,0.6296296296296297,10,0.6296296296296297,True,True,S04射击|P04拍照|P03拍照|P10拍照|P11拍照|P01拍照|P02拍照|S11射击|S12射击,2,5
