时间(s),residual_x_before,residual_y_before,residual_x_after,residual_y_after,residual_norm_after
161.82630060767508,2.929035016805053,-2.075869531777652,-0.5509368999095843,-0.2537501343817974,0.6065645871469613
161.92630060767507,3.306303286016607,-2.15369400208519,-0.1736686306980304,-0.3315746046893353,0.37430270071616883
162.02630060767507,3.38618841554758,-2.0916836247499986,-0.09378350116705736,-0.26956422735414387,0.28541236441364626
162.1263006076751,3.278611799060386,-1.9078612630277605,-0.20136011765425144,-0.08574186563190578,0.21885512217851738
162.22630060767509,3.2147734339656266,-1.7341312305659242,-0.2651984827490108,0.08798816682993049,0.27941394516822
162.32630060767508,3.386022543267363,-1.6877125488908997,-0.09394937344727428,0.134406848504955,0.16398684610714764
162.42630060767507,3.697258263304275,-1.7198802656509429,0.21728634658963752,0.10223913174491184,0.24013786972117815
162.52630060767507,3.964039972645041,-1.7171730605411795,0.4840680559304036,0.10494633685467525,0.49531365455785215
162.6263006076751,4.1257774576550785,-1.623078289417644,0.6458055409404411,0.19904110797821062,0.6757826273104166
162.72630060767509,4.225346265336557,-1.4789484470249725,0.7453743486219198,0.3431709503708822,0.8205785890224079
162.82630060767508,4.225898701050619,-1.3807131518122029,0.7459267843359818,0.4414062455836518,0.8667446228446263
162.92630060767507,4.064391364714503,-1.3760302265058848,0.5844194479998652,0.4460891708899699,0.7352153695249902
163.02630060767507,3.862718634390533,-1.4196353895024934,0.38274671767589563,0.40248400789336136,0.5554173444371134
163.1263006076751,3.7812398984070406,-1.4722066113831849,0.3012679816924031,0.34991278601266984,0.46173732208709595
163.22630060767509,3.8076522644571367,-1.5534975927138737,0.3276803477424992,0.26862180468198105,0.42371226586830074
163.32630060767508,3.8941249383473915,-1.6814746884991458,0.414153021632754,0.14064470889670888,0.43738273796319443
163.42630060767507,3.9665723164059488,-1.775092062960201,0.4866003996913113,0.04702733443565377,0.48886758857983903
163.52630060767507,3.8775794735436104,-1.7302043402361487,0.397607556828973,0.09191505715970605,0.40809330670837646
163.6263006076751,3.5759958378784855,-1.6272718841912641,0.09602392116384806,0.1948475132045906,0.21722372531032152
163.72630060767509,3.293744189358153,-1.6691044584753603,-0.18622772735648452,0.15301493892049445,0.24102767054677307
163.82630060767508,3.2880686355456366,-1.8131567775122406,-0.1919032811690009,0.008962619883614131,0.19211246153908593
163.92630060767507,3.5246512554857468,-1.887920320283122,0.0446793387711093,-0.06580092288726735,0.07953618526079595
164.02630060767507,3.7239717230644978,-1.9648941232483308,0.2439998063498603,-0.14277472585247608,0.28270218931062246
164.1263006076751,3.711535092938931,-2.157943473651739,0.23156317622429334,-0.3358240762558844,0.4079207211900386
164.22630060767509,3.675818061726562,-2.3542947221719146,0.19584614501192465,-0.5321753247760599,0.5670681518270415
164.32630060767508,3.8096565345301037,-2.4170198336354636,0.3296846178154662,-0.5949004362396089,0.680145922771141
164.42630060767507,4.003659909359778,-2.342580576761473,0.5236879926451401,-0.5204611793656184,0.738328485748279
164.52630060767507,4.079120950217099,-2.126420343094345,0.5991490335024618,-0.3043009456984902,0.6719960043779499
164.6263006076751,4.000533377303357,-1.7995611799348477,0.5205614605887199,0.022558217461007057,0.5210500047263021
164.72630060767509,3.8485180797602654,-1.5785674756275645,0.36854616304562793,0.2435519217682902,0.4417508493400798
164.82630060767508,3.7610072684355025,-1.6818412582716418,0.281035351720865,0.14027813912421294,0.31410002424868155
164.92630060767507,3.781726336307829,-1.9923710843598568,0.3017544195931916,-0.17025168696400206,0.3464698639970185
165.02630060767507,3.8192282148259196,-2.1178239292411845,0.3392562981112821,-0.29570453184532974,0.4500400048462767
165.1263006076751,3.80002166088057,-1.8455862919257773,0.32004974416593246,-0.023466894529922566,0.32090891835465923
165.22630060767509,3.7253156248764037,-1.499927249668958,0.2453437081617662,0.32219214772689675,0.4049707584399599
165.32630060767508,3.6083975301664717,-1.4164128292946727,0.12842561345183423,0.405706568101182,0.4255478323184351
165.42630060767507,3.473413038590434,-1.5006026703953537,-0.006558878124203638,0.32151672700050105,0.32158361995500157
165.52630060767507,3.378351622463153,-1.532627808001147,-0.10162029425148456,0.28949158939470765,0.3068094922489073
165.6263006076751,3.466663689057771,-1.4520248472613324,-0.013308227656866567,0.3700945501345223,0.3703337480741411
165.72630060767509,3.728845172523734,-1.3407869719104726,0.2488732558090967,0.48133242548538213,0.5418660362863326
165.82630060767508,3.833723001271966,-1.2928021122566706,0.3537510845573286,0.5293172851391841,0.6366448131985389
165.92630060767507,3.6566751148909455,-1.2827949932407554,0.17670319817630809,0.5393244041550993,0.567533992958121
166.02630060767507,3.5446657927590697,-1.224824272289717,0.06469387604443222,0.5972951251061378,0.6007884520138591
166.1263006076751,3.7566316972719966,-1.0906216659017458,0.2766597805573592,0.7314977314941089,0.7820674941199599
