序号,目标编号,任务,开始准备时刻(s),任务执行时刻(s),距离(m),方向角(deg),速度(m/s),加速度(m/s2),稳定裕度
1,S03,射击,481.45,482.95,14.487,-66.37,1.838,0.515,0.079
2,P11,拍照,492.85,493.35,27.622,-37.59,1.193,0.698,0.0
3,P04,拍照,493.65,494.15,32.949,13.5,1.434,0.273,0.044
4,P03,拍照,494.45,494.95,22.948,-6.85,1.25,1.196,0.127
5,P10,拍照,495.25,495.75,31.494,-70.27,1.443,0.608,0.034
6,P01,拍照,508.65,509.15,33.928,-79.33,0.805,0.32,0.202
7,P02,拍照,510.35,510.85,30.114,-60.45,1.041,0.437,0.051
8,S10,射击,513.05,514.55,8.818,-16.73,1.501,1.099,0.0
9,S12,射击,762.25,763.75,14.912,-21.64,1.762,0.212,0.097
