model,selected_task_count,covered_target_count,margin_sum_mean,margin_sum_worst,min_task_margin_worst,feasible_rate_mean,task_set_stability,task_ids
R1,9,9,1.3460578723683068,0.32927306988473637,0.0,0.8444444444444444,0.8444444444444444,P10拍照|P03拍照|P11拍照|P04拍照|P02拍照|P01拍照|S10射击|S11射击|S12射击
R2,7,7,0.9628212241523407,0.6338267872256865,0.034449052725057605,1.0,1.0,S03射击|P10拍照|P11拍照|P03拍照|P01拍照|P02拍照|S12射击
R3,9,9,1.2554054042208207,0.4081482120692893,0.0,0.9333333333333333,0.9333333333333333,S04射击|P04拍照|P03拍照|P10拍照|P11拍照|P01拍照|P02拍照|S11射击|S12射击
R4,9,9,1.0046430140985334,0.6338267872256865,0.0,0.9555555555555555,0.9555555555555555,S03射击|P11拍照|P04拍照|P03拍照|P10拍照|P01拍照|P02拍照|S10射击|S12射击
