序号,目标编号,任务,开始准备时刻(s),任务执行时刻(s),距离(m),方向角(deg),速度(m/s),加速度(m/s2),稳定裕度
1,S04,射击,477.45,478.95,8.891,-19.21,1.665,0.136,0.0
2,S05,射击,480.85,482.35,23.237,-24.41,1.648,0.536,0.099
3,P11,拍照,493.25,493.75,27.639,-37.17,0.901,0.251,0.224
4,P10,拍照,493.85,494.35,29.32,-69.0,1.102,0.474,0.274
5,P04,拍照,494.45,494.95,32.55,11.27,1.42,0.696,0.053
6,P01,拍照,508.95,509.45,33.7,-80.26,0.845,0.177,0.229
7,P02,拍照,517.45,517.95,38.087,-69.81,0.966,0.492,0.047
8,S15,射击,749.25,750.75,13.888,1.75,1.463,0.126,0.065
9,S16,射击,750.85,752.35,24.63,12.88,1.797,0.568,0.096
