event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin
S_00000,shooting,S01,478.85,480.35,13.690760827840572,1.9326804233279127,0.2594064515573358,0.02127544679860882
S_00001,shooting,S01,478.95,480.45,13.65687333867372,1.9284338617567034,0.5479120958929405,0.02127544679860882
S_00002,shooting,S01,479.05,480.55,13.461516824377844,1.8489766474888012,1.2123778129084488,0.02127544679860882
S_00003,shooting,S01,479.15,480.65,13.120910738490384,1.751543231042297,1.0408957697885954,0.02127544679860882
S_00004,shooting,S01,479.25,480.75,12.733859404897887,1.7038046148340447,0.16757370301803554,0.02127544679860882
S_00005,shooting,S01,479.35,480.85,12.473965094632764,1.726667034059839,0.647907451813512,0.022586360165033792
S_00006,shooting,S01,479.45,480.95,12.344000598517738,1.811221780611295,0.9824246501011479,0.03365978833604366
S_00007,shooting,S01,479.55,481.05,12.104471800372739,1.9109412737536389,0.740350290130024,0.03365978833604366
S_00008,shooting,S01,479.65,481.15,11.648302640284827,1.9589879533134766,0.3794596200805587,0.02050602334326168
S_00009,shooting,S01,479.75,481.25,11.114206523725372,1.9309511662078678,0.9005394925814459,0.02050602334326168
S_00010,shooting,S01,479.85,481.35,10.640733043252004,1.8595056291587833,0.988081211164002,0.02050602334326168
S_00011,shooting,S01,479.95,481.45,10.336052963542965,1.7827064604072598,0.7100230920316005,0.02050602334326168
S_00012,shooting,S01,480.05,481.55,10.303548458642986,1.717501570346291,0.7532057374311089,0.02050602334326168
S_00013,shooting,S01,480.15,481.65,10.491927330705701,1.6648484218107396,0.551375833982072,0.02050602334326168
S_00014,shooting,S01,480.25,481.75,10.711959270500644,1.6224068567246726,0.28287532136724436,0.02050602334326168
S_00015,shooting,S01,480.35,481.85,10.854238955663586,1.6111300204074248,0.16565272093554526,0.02050602334326168
S_00016,shooting,S01,480.45,481.95,10.910772050855437,1.6386659898126283,0.3260623221698335,0.02050602334326168
S_00017,shooting,S01,480.55,482.05,10.969714614392885,1.676088735166791,0.2741829588128353,0.02050602334326168
S_00018,shooting,S01,480.65,482.15,11.04585864147887,1.6897702638301209,0.35941542053870557,0.02050602334326168
S_00019,shooting,S01,480.75,482.25,11.014510091702496,1.648254973073601,0.9327735685946439,0.02050602334326168
S_00020,shooting,S01,480.85,482.35,10.838040068408894,1.5386041390531053,1.2090920553124838,0.02050602334326168
S_00021,shooting,S01,480.95,482.45,10.607165055036605,1.424689160681826,0.6005322249665404,0.02050602334326168
S_00022,shooting,S01,481.05,482.55,10.424308902037291,1.4206465725391497,0.5263363345792068,0.02050602334326168
S_00023,shooting,S01,481.15,482.65,10.449118138743216,1.5281227440068879,0.9280614993853511,0.02050602334326168
S_00024,shooting,S01,481.25,482.75,10.763979186400181,1.6061779008432298,0.26315308615645,0.03452441689606611
S_00025,shooting,S01,481.35,482.85,11.201161050394775,1.5805686492956852,0.3003459245813133,0.07024718542060837
S_00026,shooting,S01,481.45,482.95,11.543136543758326,1.5463724253424047,0.3502828283827383,0.10864676979637011
S_00027,shooting,S01,481.55,483.05,11.682200741406392,1.6160090598274792,1.3257970103149164,0.11613532645672242
S_00028,shooting,S01,492.55,494.05,23.84034211539646,1.1132348672598857,0.27715346422207243,0.12772010253925922
S_00029,shooting,S01,492.65,494.15,23.66479728995564,1.135809614850362,0.2705444078446627,0.12772010253925922
S_00030,shooting,S01,492.75,494.25,23.566353317712448,1.1566008171885416,0.27519607339732094,0.12772010253925922
S_00031,shooting,S01,492.85,494.35,23.708781263043345,1.150301572079074,0.8810436160698029,0.12772010253925922
S_00032,shooting,S01,492.95,494.45,24.045786514299834,1.1110766289537015,1.1739712556811173,0.12772010253925922
S_00033,shooting,S01,493.05,494.55,24.31792111555949,1.062417713334145,0.9969932026133521,0.12772010253925922
