dataset,model,param_count,train_RMSE,valid_RMSE,train_MAE,valid_MAE,valid_Huber,BIC_valid
附件3,fixed,2,2.7066358218803668,2.912310523650409,2.4290203828585692,2.553806888835709,2.065187218967953,1295.5299719322707
附件3,linear,4,2.702061678892285,2.8879882506814654,2.427354202415197,2.5370017083188348,2.048935749380393,1298.2599018593187
附件3,piecewise_3,6,2.703998950814429,2.925570077647385,2.425449671000557,2.555578090748924,2.0692729727257633,1326.5688099728072
附件3,piecewise_5,10,2.698762678508521,2.971684510651766,2.415736306501812,2.598960700663723,2.1111948849312467,1370.9240573542966
附件3,piecewise_10,20,2.6520064241138535,3.0000967332929345,2.3402455127201263,2.6711879492941706,2.178074999217107,1446.3120321994197
