candidate_id,目标编号,任务,start_time,exec_time,distance,angle_deg,speed,acceleration,margin,normalized_margin,bottleneck_constraint,window_points,dmin,dmax,vmax,amax
0,S01,射击,478.85,480.35,13.690760827840572,-135.91408558221207,1.9326804233279127,0.2594064515573358,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
1,S01,射击,478.95,480.45,13.65687333867372,-135.10678035438926,1.9284338617567034,0.5479120958929405,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
2,S01,射击,479.05,480.55,13.461516824377844,-133.64926251775879,1.8489766474888012,1.2123778129084488,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
3,S01,射击,479.15,480.65,13.120910738490384,-132.97594289234004,1.751543231042297,1.0408957697885954,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
4,S01,射击,479.25,480.75,12.733859404897887,-133.3575747776107,1.7038046148340447,0.16757370301803554,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
5,S01,射击,479.35,480.85,12.473965094632764,-133.85835601791118,1.726667034059839,0.647907451813512,0.022586360165033792,0.022586360165033792,speed,16,5.0,30.0,2.0,1.5
6,S01,射击,479.45,480.95,12.344000598517738,-134.0193355948668,1.811221780611295,0.9824246501011479,0.03365978833604366,0.03365978833604366,speed,16,5.0,30.0,2.0,1.5
7,S01,射击,479.55,481.05,12.104471800372739,-134.19048599305657,1.9109412737536389,0.740350290130024,0.03365978833604366,0.03365978833604366,speed,16,5.0,30.0,2.0,1.5
8,S01,射击,479.65,481.15,11.648302640284827,-135.18123421774777,1.9589879533134766,0.3794596200805587,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
9,S01,射击,479.75,481.25,11.114206523725372,-137.366374317671,1.9309511662078678,0.9005394925814459,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
10,S01,射击,479.85,481.35,10.640733043252004,-139.35041490844998,1.8595056291587833,0.988081211164002,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
11,S01,射击,479.95,481.45,10.336052963542965,-139.13082258285118,1.7827064604072598,0.7100230920316005,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
12,S01,射击,480.05,481.55,10.303548458642986,-137.75997814772145,1.717501570346291,0.7532057374311089,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
13,S01,射击,480.15,481.65,10.491927330705701,-137.95400257897614,1.6648484218107396,0.551375833982072,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
14,S01,射击,480.25,481.75,10.711959270500644,-139.3879042617824,1.6224068567246726,0.28287532136724436,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
15,S01,射击,480.35,481.85,10.854238955663586,-140.0692417524111,1.6111300204074248,0.16565272093554526,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
16,S01,射击,480.45,481.95,10.910772050855437,-139.2837347898508,1.6386659898126283,0.3260623221698335,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
17,S01,射击,480.55,482.05,10.969714614392885,-137.7149900579705,1.676088735166791,0.2741829588128353,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
18,S01,射击,480.65,482.15,11.04585864147887,-136.01826074536464,1.6897702638301209,0.35941542053870557,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
19,S01,射击,480.75,482.25,11.014510091702496,-134.16860824286454,1.648254973073601,0.9327735685946439,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
20,S01,射击,480.85,482.35,10.838040068408894,-132.27426269788495,1.5386041390531053,1.2090920553124838,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
21,S01,射击,480.95,482.45,10.607165055036605,-131.432839893226,1.424689160681826,0.6005322249665404,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
22,S01,射击,481.05,482.55,10.424308902037291,-131.81228228674573,1.4206465725391497,0.5263363345792068,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
23,S01,射击,481.15,482.65,10.449118138743216,-131.12831530576645,1.5281227440068879,0.9280614993853511,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
24,S01,射击,481.25,482.75,10.763979186400181,-128.2592612464698,1.6061779008432298,0.26315308615645,0.03452441689606611,0.03452441689606611,speed,16,5.0,30.0,2.0,1.5
25,S01,射击,481.35,482.85,11.201161050394775,-125.06759648395156,1.5805686492956852,0.3003459245813133,0.07024718542060837,0.07024718542060837,speed,16,5.0,30.0,2.0,1.5
26,S01,射击,481.45,482.95,11.543136543758326,-122.77157862159402,1.5463724253424047,0.3502828283827383,0.10864676979637011,0.10864676979637011,speed,16,5.0,30.0,2.0,1.5
27,S01,射击,481.55,483.05,11.682200741406392,-121.2240809694508,1.6160090598274792,1.3257970103149164,0.11613532645672242,0.11613532645672242,acceleration,16,5.0,30.0,2.0,1.5
28,S01,射击,492.55,494.05,23.84034211539646,-58.25413799856379,1.1132348672598857,0.27715346422207243,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
29,S01,射击,492.65,494.15,23.66479728995564,-57.774232187441484,1.135809614850362,0.2705444078446627,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
30,S01,射击,492.75,494.25,23.566353317712448,-57.86586838243112,1.1566008171885416,0.27519607339732094,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
31,S01,射击,492.85,494.35,23.708781263043345,-58.7071966307666,1.150301572079074,0.8810436160698029,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
32,S01,射击,492.95,494.45,24.045786514299834,-59.08919892556291,1.1110766289537015,1.1739712556811173,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
33,S01,射击,493.05,494.55,24.31792111555949,-58.631812550723154,1.062417713334145,0.9969932026133521,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
34,S01,射击,493.15,494.65,24.29217694765792,-57.906611744458665,1.0365205842349925,0.5647451801211103,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
35,S01,射击,493.25,494.75,24.022205542541197,-57.208094298965754,1.038122707179419,0.06999526415516408,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
36,S01,射击,493.35,494.85,23.697388485230892,-56.663505957256106,1.0379082604385468,0.8181224009812701,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
37,S01,射击,493.45,494.95,23.466197190021564,-56.489374381139484,1.0485775848352668,1.1608729538506672,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
38,S01,射击,493.55,495.05,23.41752752170626,-56.90165920977368,1.1011943135297888,1.005048052280708,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
39,S01,射击,493.65,495.15,23.632860935663487,-57.87585070847894,1.1790687666941488,0.856353566748607,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
40,S01,射击,493.75,495.25,24.062963145189006,-58.7099421692557,1.259594527459125,0.7711090617555076,0.21735249621258848,0.21735249621258848,acceleration,16,5.0,30.0,2.0,1.5
41,S01,射击,493.85,495.35,24.537132173969887,-58.92753632128993,1.327686334824862,0.5863990236316645,0.21735249621258848,0.21735249621258848,acceleration,16,5.0,30.0,2.0,1.5
42,S01,射击,493.95,495.45,24.89739669550096,-58.9608952336617,1.3708151248882972,0.32417545815788634,0.20410413217996165,0.20410413217996165,distance_upper,16,5.0,30.0,2.0,1.5
43,S01,射击,494.05,495.55,25.175367236487137,-59.29949213277319,1.3923437427927918,0.2015921886347146,0.19298531054051452,0.19298531054051452,distance_upper,16,5.0,30.0,2.0,1.5
44,S01,射击,494.15,495.65,25.499833924765113,-59.71827642564436,1.4078605622686617,0.24527622130056254,0.18000664300939548,0.18000664300939548,distance_upper,16,5.0,30.0,2.0,1.5
45,S01,射击,494.25,495.75,25.844689807634087,-59.75902276751325,1.4362404103374813,0.606502904298347,0.16621240769463655,0.16621240769463655,distance_upper,16,5.0,30.0,2.0,1.5
46,S01,射击,494.35,495.85,26.071323962502436,-59.5079948599995,1.5028285123608585,1.0057464457980916,0.15714704149990255,0.15714704149990255,distance_upper,16,5.0,30.0,2.0,1.5
47,S01,射击,494.45,495.95,26.159173848233966,-59.36965569029957,1.616055662730538,1.2876515646849331,0.1415656235433779,0.1415656235433779,acceleration,16,5.0,30.0,2.0,1.5
48,S01,射击,494.55,496.05,26.24075057035672,-59.87661962812761,1.7421265695136563,1.2411669790463806,0.12893671524317185,0.12893671524317185,speed,16,5.0,30.0,2.0,1.5
49,S01,射击,494.65,496.15,26.398207028942085,-61.31076722095635,1.8329322561928965,0.9548623308212629,0.08353387190355177,0.08353387190355177,speed,16,5.0,30.0,2.0,1.5
50,S01,射击,494.75,496.25,26.638792460838957,-63.01106316893285,1.896609208534486,0.8240902361335534,0.051695395732757055,0.051695395732757055,speed,16,5.0,30.0,2.0,1.5
51,S01,射击,494.85,496.35,26.995147762214597,-64.12882480515741,1.9881420615109993,1.113806959276161,0.0059289692445003706,0.0059289692445003706,speed,16,5.0,30.0,2.0,1.5
52,S02,射击,478.85,480.35,5.444683236294849,-129.10281174783472,1.9326804233279127,0.2594064515573358,0.01653990651628863,0.01653990651628863,distance_lower,16,5.0,30.0,2.0,1.5
53,S02,射击,478.95,480.45,5.436017172486857,-127.04450682906386,1.9284338617567034,0.5479120958929405,0.01653990651628863,0.01653990651628863,distance_lower,16,5.0,30.0,2.0,1.5
54,S02,射击,479.05,480.55,5.299027220427164,-123.0728238527836,1.8489766474888012,1.2123778129084488,0.011961088817086568,0.011961088817086568,distance_lower,16,5.0,30.0,2.0,1.5
55,S02,射击,492.55,494.05,24.146855089746126,-38.32382783267695,1.1132348672598857,0.27715346422207243,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
56,S02,射击,492.65,494.15,24.04987259923392,-37.73664989144073,1.135809614850362,0.2705444078446627,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
57,S02,射击,492.75,494.25,23.94444509289094,-37.74064258909155,1.1566008171885416,0.27519607339732094,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
58,S02,射击,492.85,494.35,23.95893091448617,-38.63745222871046,1.150301572079074,0.8810436160698029,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
59,S02,射击,492.95,494.45,24.22141597838861,-39.26679755542232,1.1110766289537015,1.1739712556811173,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
60,S02,射击,493.05,494.55,24.542693485144227,-39.0552800198949,1.062417713334145,0.9969932026133521,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
61,S02,射击,493.15,494.65,24.621439035522332,-38.35954755431859,1.0365205842349925,0.5647451801211103,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
62,S02,射击,493.25,494.75,24.466080528712613,-37.50028264830036,1.038122707179419,0.06999526415516408,0.12772010253925922,0.12772010253925922,acceleration,16,5.0,30.0,2.0,1.5
63,S02,射击,493.35,494.85,24.23737549245255,-36.739211048180714,1.0379082604385468,0.8181224009812701,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
64,S02,射击,493.45,494.95,24.044666539080126,-36.3916151352568,1.0485775848352668,1.1608729538506672,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
65,S02,射击,493.55,495.05,23.940906103278955,-36.72980667909689,1.1011943135297888,1.005048052280708,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
66,S02,射击,493.65,495.15,24.005489818037034,-37.804487449650495,1.1790687666941488,0.856353566748607,0.15972452004161752,0.15972452004161752,acceleration,16,5.0,30.0,2.0,1.5
67,S02,射击,493.75,495.25,24.291519109125126,-38.92668687049061,1.259594527459125,0.7711090617555076,0.2151424385791067,0.2151424385791067,distance_upper,16,5.0,30.0,2.0,1.5
68,S02,射击,493.85,495.35,24.707242116163233,-39.502070245096,1.327686334824862,0.5863990236316645,0.21171031535347068,0.21171031535347068,distance_upper,16,5.0,30.0,2.0,1.5
69,S02,射击,493.95,495.45,25.04252931450678,-39.80747985189295,1.3708151248882972,0.32417545815788634,0.19829882741972882,0.19829882741972882,distance_upper,16,5.0,30.0,2.0,1.5
70,S02,射击,494.05,495.55,25.25694565551212,-40.33287106020097,1.3923437427927918,0.2015921886347146,0.18972217377951522,0.18972217377951522,distance_upper,16,5.0,30.0,2.0,1.5
71,S02,射击,494.15,495.65,25.504128811894837,-40.96527691319247,1.4078605622686617,0.24527622130056254,0.1798348475242065,0.1798348475242065,distance_upper,16,5.0,30.0,2.0,1.5
72,S02,射击,494.25,495.75,25.825080937807833,-41.24985744482722,1.4362404103374813,0.606502904298347,0.1669967624876867,0.1669967624876867,distance_upper,16,5.0,30.0,2.0,1.5
73,S02,射击,494.35,495.85,26.076041598354195,-41.16976863297448,1.5028285123608585,1.0057464457980916,0.1569583360658322,0.1569583360658322,distance_upper,16,5.0,30.0,2.0,1.5
74,S02,射击,494.45,495.95,26.179249640580036,-41.09899563926746,1.616055662730538,1.2876515646849331,0.1415656235433779,0.1415656235433779,acceleration,16,5.0,30.0,2.0,1.5
75,S02,射击,494.55,496.05,26.1841014994099,-41.6367025544351,1.7421265695136563,1.2411669790463806,0.12893671524317185,0.12893671524317185,speed,16,5.0,30.0,2.0,1.5
76,S02,射击,494.65,496.15,26.127697503561077,-43.11531122797346,1.8329322561928965,0.9548623308212629,0.08353387190355177,0.08353387190355177,speed,16,5.0,30.0,2.0,1.5
77,S02,射击,494.75,496.25,26.111250064313445,-44.92008812276624,1.896609208534486,0.8240902361335534,0.051695395732757055,0.051695395732757055,speed,16,5.0,30.0,2.0,1.5
78,S02,射击,494.85,496.35,26.288650780987503,-46.24889792881587,1.9881420615109993,1.113806959276161,0.0059289692445003706,0.0059289692445003706,speed,16,5.0,30.0,2.0,1.5
79,S03,射击,478.85,480.35,13.358580926963796,-77.17189676454609,1.9326804233279127,0.2594064515573358,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
80,S03,射击,478.95,480.45,13.505408277547511,-76.62048883757211,1.9284338617567034,0.5479120958929405,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
81,S03,射击,479.05,480.55,13.697375477271141,-75.15949904924503,1.8489766474888012,1.2123778129084488,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
82,S03,射击,479.15,480.65,13.655397907008702,-73.59953907935574,1.751543231042297,1.0408957697885954,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
83,S03,射击,479.25,480.75,13.388248112633619,-72.35790701071441,1.7038046148340447,0.16757370301803554,0.02127544679860882,0.02127544679860882,speed,16,5.0,30.0,2.0,1.5
84,S03,射击,479.35,480.85,13.167822971557346,-71.59699989063694,1.726667034059839,0.647907451813512,0.022586360165033792,0.022586360165033792,speed,16,5.0,30.0,2.0,1.5
85,S03,射击,479.45,480.95,13.076987654485135,-71.16354293588388,1.811221780611295,0.9824246501011479,0.03365978833604366,0.03365978833604366,speed,16,5.0,30.0,2.0,1.5
86,S03,射击,479.55,481.05,12.937002528003395,-70.29236243532907,1.9109412737536389,0.740350290130024,0.03365978833604366,0.03365978833604366,speed,16,5.0,30.0,2.0,1.5
87,S03,射击,479.65,481.15,12.558811066062741,-68.82045596073867,1.9589879533134766,0.3794596200805587,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
88,S03,射击,479.75,481.25,11.957665590681154,-67.25456672484532,1.9309511662078678,0.9005394925814459,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
89,S03,射击,479.85,481.35,11.45264236737412,-65.62386565011808,1.8595056291587833,0.988081211164002,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
90,S03,射击,479.95,481.45,11.4093112179802,-64.09881918605,1.7827064604072598,0.7100230920316005,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
91,S03,射击,480.05,481.55,11.638699229001048,-63.61678824122629,1.717501570346291,0.7532057374311089,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
92,S03,射击,480.15,481.65,11.657539406886922,-64.55489309478445,1.6648484218107396,0.551375833982072,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
93,S03,射击,480.25,481.75,11.466088440711808,-65.97532738710868,1.6224068567246726,0.28287532136724436,0.02050602334326168,0.02050602334326168,speed,16,5.0,30.0,2.0,1.5
