dataset,model,param_count,train_RMSE,valid_RMSE,train_MAE,valid_MAE,valid_Huber,BIC_valid
附件2,fixed,2,0.7346521803427412,0.7175079337309792,0.6478454620654445,0.6314300235548124,0.2511934577413967,-881.906719907865
附件2,linear,4,0.7342283906229754,0.7185485227069814,0.6479157346519961,0.6324566777262514,0.2517924911000372,-863.5780749950286
附件2,piecewise_3,6,0.7347868708772725,0.7172930060795557,0.6476376168028831,0.6302603217733437,0.250990681804164,-853.8841796179506
附件2,piecewise_5,10,0.730796057593357,0.7230142079753561,0.6450637397166993,0.6365085841915928,0.25448212707225776,-803.6026964009839
附件2,piecewise_10,20,0.7272900796945484,0.7169806507935178,0.6418551666719687,0.6306817565574694,0.25078404233503915,-754.1501503079619
