时间(s),residual_x,residual_y,t_norm,x,y,v,a,theta,cos_theta,sin_theta,curvature
469.05,2.0323311681415674,3.1007296026475935,0.0,51.09889540720267,-2.9473337569755094,2.7546903691341575,1.0743599507783501,1.8683925312785443,-0.29322292151184876,0.9560440985122267,0.1219470998072611
469.25,1.7116866095750822,2.709814653208153,0.00066711140760507,50.19817614896114,-1.7730898817529943,2.639073391546873,1.5839178822467421,1.9355778315551213,-0.35674518436294994,0.9342017305881235,0.2034601586839933
469.45,1.496329832881365,2.0111862069764324,0.00133422281521014,50.139767588695875,-1.03893637480215,2.453260710438231,2.0382425361395557,2.0831710476876646,-0.4902483930631708,0.8715827631951992,0.31177385745395897
469.65,1.9034226735854887,0.4818500746423498,0.0020013342228152103,49.928693011942954,-0.6559116544262916,2.3351821996410207,1.9278006987641676,2.2415228535685308,-0.6215552905215062,0.7833702961082493,0.34169456692012046
469.84999999999997,2.0893803820925,-0.2465709694033714,0.00266844563042028,49.243134545688534,-0.07297503997925202,2.2838366163443267,1.8174008664646886,2.4023386758420116,-0.7389713869723703,0.6737368100646806,0.34474136897191393
470.04999999999995,3.0649527836475983,-0.5935569331547382,0.00333555703802535,49.09059534071833,0.43084439886216724,2.292896227986976,1.7070511890220128,2.5564560382192036,-0.833636639183915,0.5523132750623936,0.3208046887120607
470.24999999999994,3.879757500844761,-1.4882750424451827,0.004002668445630421,48.38455975670506,1.2142925806076472,2.3517643407253632,1.5967620648363159,2.696567420109363,-0.9025998031582756,0.4304806561724256,0.2788103747281011
470.44999999999993,4.730664705492742,-1.6431497771774546,0.004669779853235491,48.75031462999388,1.559041083350811,2.4479485157367455,1.48654697157654,2.8187345570631184,-0.9483324806976465,0.31727827857237234,0.2303948174658567
470.6499999999999,4.081397100315236,-2.2651689321870134,0.00533689126084056,48.21156098836832,1.406901711057375,2.569350718241548,1.376423693108425,2.922165280688943,-0.9760222535205313,0.21767076200699,0.18423334668384142
470.8499999999999,3.263807073036041,-2.6853885159563005,0.00600400266844563,47.585610839462646,1.3703282507702315,2.7056044576598106,1.2664161813720969,3.0080785897135764,-0.9911002297780652,0.13311774687796635,0.1445334677842107
471.0499999999999,1.7973022758041992,-1.6239060406589159,0.0066711140760507,47.23953686986006,1.431563085856069,2.84846645952129,1.156557470762291,3.0785854385761304,-0.9980157020153281,0.06296553446808759,0.11223842547353828
471.2499999999999,2.4360860586982582,-1.6290589901053418,0.00733822548365577,45.81814834774485,0.8844951467439235,2.991658070552819,1.0468944068791755,3.1359615458859107,-0.9999841453549088,0.005631077944113049,5.163927724836511
471.4499999999999,1.877578209571162,-1.8766597241565783,0.008005336891260841,45.06768906130023,0.6000094721720999,3.130506273350075,0.9374956492580543,-3.1008969829269604,-0.9991720454713334,-0.04068443865449791,4.9511341182679525
471.64999999999986,0.32027113369908733,-1.5425716956053857,0.00867244829886591,44.54421096341025,0.5499015269145243,3.261573997833838,0.8284659092833531,-3.0638610210879045,-0.996980417525524,-0.07765337771553724,0.05074493923047325
471.84999999999985,-1.7954664506598803,-0.6657571927586307,0.009339559706470981,43.37615355735427,0.10125659960210413,3.382351131852608,0.7199728540406636,-3.034693633200656,-0.9942917387095863,-0.10669554036541426,0.038128470984190185
472.04999999999984,-2.1301378393458066,0.25094464311935727,0.01000667111407605,42.93980251456108,-0.36010955384352333,3.491018884595969,0.6123018336656055,-3.0122754702922334,-0.9916501789134671,-0.12895705742955213,0.027892742031423164
472.24999999999983,-1.3340900370715332,-0.4079526718359346,0.01067378252168112,41.9909702037061,0.00996697210162048,3.5862783325787655,0.5059779023921197,-2.9957439975307136,-0.9893829251816303,-0.14533212775928298,0.019397620377372166
472.4499999999998,-1.5731378620663676,-2.3591859092992533,0.01134089392928619,41.87518865144783,-0.2172964654526674,3.667229126978994,0.4020711593138106,-2.9844493640270517,-0.9876783804635121,-0.15649733788462308,0.012152647480660394
472.6499999999998,-1.499000479871647,-2.5845086991433117,0.01200800533689126,41.6632361625832,-0.12267733892640098,3.7332857023346557,0.3030779995821224,-2.9779173804063204,-0.9866350792170258,-0.1629454524017572,0.0057782710960917714
472.8499999999998,-2.4123334562268894,-1.8588942219147482,0.012675116744496331,40.45738969652203,0.1295489393063562,3.784121256244635,0.33240557618008093,-2.975820589280151,-0.9862912480026742,-0.165013860367326,0.004279557774939853
473.0499999999998,-2.7857956923713516,-1.4912152381581687,0.0133422281521014,40.56784231661755,0.004344355163953095,3.8639519056000133,0.7277635951212659,-2.9843951266237108,-0.9876698910015549,-0.1565509067651054,0.03280736547873946
