task_key,任务,目标编号,exec_time,start_time,distance,angle_deg,speed,acceleration,window_points,margin_mean,margin_worst,scenario_feasible_rate,feasible_scenarios,scenario_count,risk_penalty,margin,normalized_margin,bottleneck_constraint
射击|S01|477.8,射击,S01,477.85,476.35,18.160828383589813,-146.53613510167378,1.4994581209902493,0.7106997864080826,16,0.008583628431878713,0.0,0.13333333333333333,2,15,0.9166666666666667,0.008583628431878713,0.008583628431878713,speed
射击|S01|478.0,射击,S01,478.05,476.55,17.57825128178223,-145.4699207251836,1.5727335749608924,0.45142064582311714,16,0.025517326039376086,0.0,0.3333333333333333,5,15,0.7166666666666668,0.025517326039376086,0.025517326039376086,speed
射击|S01|478.2,射击,S01,478.25,476.75,17.132651316002843,-144.6714096466284,1.5710489800127632,0.2351537676580967,16,0.04121265032480754,0.0,0.5333333333333333,8,15,0.5166666666666667,0.04121265032480754,0.04121265032480754,speed
射击|S01|478.4,射击,S01,478.45,476.95,16.852437792919908,-144.01876648763462,1.6023223077104978,0.2501934953377629,16,0.05080691479142223,0.0,0.7333333333333333,11,15,0.3166666666666667,0.05080691479142223,0.05080691479142223,speed
射击|S01|478.6,射击,S01,478.65,477.15,16.54186219498256,-143.37770041041216,1.6327258998206866,0.2506895965321564,16,0.05716119210695896,0.0,0.9333333333333333,14,15,0.11666666666666665,0.05716119210695896,0.05716119210695896,speed
射击|S01|478.8,射击,S01,478.85,477.35,16.220114947545202,-142.64861264673868,1.6542762142248217,0.18505178597044306,16,0.06844084082767198,0.0,0.8666666666666667,13,15,0.1833333333333333,0.06844084082767198,0.06844084082767198,speed
射击|S01|479.0,射击,S01,479.05,477.55,15.89059317572842,-141.95787579093923,1.670644859467265,0.08050218616953957,16,0.07235024522250072,0.0,0.8666666666666667,13,15,0.1833333333333333,0.07235024522250072,0.07235024522250072,speed
射击|S01|479.2,射击,S01,479.25,477.75,15.55575664176842,-141.34372315973968,1.6594555555711157,0.13282900795500446,16,0.07936180878289721,0.0,0.7333333333333333,11,15,0.3166666666666667,0.07936180878289721,0.07936180878289721,speed
射击|S01|479.4,射击,S01,479.45,477.95,15.251222060692996,-140.66211947484933,1.630560827545707,0.19506019227434448,16,0.08537932163685366,0.0,0.7333333333333333,11,15,0.3166666666666667,0.08537932163685366,0.08537932163685366,speed
射击|S01|479.6,射击,S01,479.65,478.15,14.949278910163267,-139.93040905124897,1.615334706341508,0.17558839406581273,16,0.08948346816635248,0.0,0.7333333333333333,11,15,0.3166666666666667,0.08948346816635248,0.08948346816635248,speed
射击|S01|479.8,射击,S01,479.85,478.35,14.622289609795908,-139.44647964723126,1.604254970318064,0.133180398116425,16,0.09241298022431793,0.0,0.7333333333333333,11,15,0.3166666666666667,0.09241298022431793,0.09241298022431793,speed
射击|S01|480.0,射击,S01,480.05,478.55,14.262853063136038,-138.97788815656472,1.5723810216314063,0.19949301168974248,16,0.09361312102371985,0.0,0.7333333333333333,11,15,0.3166666666666667,0.09361312102371985,0.09361312102371985,speed
射击|S01|480.2,射击,S01,480.25,478.75,13.92083986618326,-138.33559308511457,1.531479569910853,0.2088250655781289,16,0.09608317721121531,0.0,0.7333333333333333,11,15,0.3166666666666667,0.09608317721121531,0.09608317721121531,speed
射击|S01|480.4,射击,S01,480.45,478.95,13.621661059881841,-137.66857633002155,1.5005779176033391,0.18258348104314498,16,0.09904989847110146,0.0,0.7333333333333333,11,15,0.3166666666666667,0.09904989847110146,0.09904989847110146,speed
射击|S01|480.6,射击,S01,480.65,479.15,13.344202158429548,-137.0686091124432,1.4674440526329455,0.23836806082011647,16,0.10231585165405911,0.0,0.7333333333333333,11,15,0.3166666666666667,0.10231585165405911,0.10231585165405911,speed
射击|S01|480.8,射击,S01,480.85,479.35,13.073225499642492,-136.53188177486888,1.4253515653464488,0.24689301744302777,16,0.10880581581713492,0.0,0.7333333333333333,11,15,0.3166666666666667,0.10880581581713492,0.10880581581713492,speed
射击|S01|481.0,射击,S01,481.05,479.55,12.872909968510756,-135.9842324654699,1.39514573156958,0.23458306813962182,16,0.1127116161610051,0.0,0.7333333333333333,11,15,0.3166666666666667,0.1127116161610051,0.1127116161610051,speed
射击|S01|481.2,射击,S01,481.25,479.75,12.682431789061312,-135.3184457051886,1.3703809084996594,0.28788930062605006,16,0.11171683915255248,0.0,0.7333333333333333,11,15,0.3166666666666667,0.11171683915255248,0.11171683915255248,speed
射击|S01|481.4,射击,S01,481.45,479.95,12.494492265657641,-134.78975919694025,1.360583352049252,0.3368604809054435,16,0.11067397378836794,0.0,0.7333333333333333,11,15,0.3166666666666667,0.11067397378836794,0.11067397378836794,speed
射击|S01|481.6,射击,S01,481.65,480.15,12.33908910974059,-134.2841377254539,1.3778076046208505,0.37205922260915636,16,0.11222925655101802,0.0,0.8,12,15,0.24999999999999994,0.11222925655101802,0.11222925655101802,speed
射击|S01|481.8,射击,S01,481.85,480.35,12.208297574047355,-133.5912852497008,1.4320870210550165,0.4744349118608254,16,0.11315071849897172,0.0,0.8,12,15,0.24999999999999994,0.11315071849897172,0.11315071849897172,speed
射击|S01|482.0,射击,S01,482.05,480.55,12.060353557590506,-132.84399932737676,1.50579894870547,0.48871468403381696,16,0.10858972567794443,0.0,0.8,12,15,0.24999999999999994,0.10858972567794443,0.10858972567794443,speed
射击|S01|482.2,射击,S01,482.25,480.75,11.846423263648225,-131.90284480179267,1.59823902587789,0.5074729617223993,16,0.10065260082928011,0.0,0.8666666666666667,13,15,0.1833333333333333,0.10065260082928011,0.10065260082928011,speed
射击|S01|482.4,射击,S01,482.45,480.95,11.602837362953794,-130.63019298543736,1.7018029254372993,0.5927210321135727,16,0.09230767892924534,0.012618942827411384,1.0,15,15,0.03738105717258862,0.09230767892924534,0.09230767892924534,speed
射击|S01|482.6,射击,S01,482.65,481.15,11.406382412067776,-129.03817550074785,1.8278635838152224,0.6836366190460492,16,0.07942405322705123,0.0,0.9333333333333333,14,15,0.11666666666666665,0.07942405322705123,0.07942405322705123,speed
射击|S01|482.8,射击,S01,482.85,481.35,11.259425514043947,-127.27991627955177,1.9671257528105985,0.7307218739415131,16,0.061313173288942625,0.0,0.7333333333333333,11,15,0.3166666666666667,0.061313173288942625,0.061313173288942625,speed
射击|S01|483.0,射击,S01,482.95,481.45,10.626200950030091,-124.80193917849424,1.8388442421173328,0.618099851786576,16,0.039388156772293764,0.0,0.4,6,15,0.65,0.039388156772293764,0.039388156772293764,speed
射击|S01|483.2,射击,S01,483.15,481.65,10.490956203283549,-122.48136845486464,1.965752478870247,0.7013289889652986,16,0.022468290705978857,0.0,0.3333333333333333,5,15,0.7166666666666668,0.022468290705978857,0.022468290705978857,speed
射击|S01|483.4,射击,S01,483.35,481.85,10.1539387287671,-119.13888724916467,1.9885530510126903,0.7255754744439614,16,0.007382133460695384,0.0,0.2,3,15,0.8500000000000001,0.007382133460695384,0.007382133460695384,speed
射击|S01|483.6,射击,S01,483.55,482.05,9.91747510867842,-116.08109124497861,1.9998780985902394,0.7235509584066125,16,4.063380325354989e-06,0.0,0.06666666666666667,1,15,0.9833333333333334,4.063380325354989e-06,4.063380325354989e-06,speed
射击|S01|493.4,射击,S01,493.45,491.95,23.524266413592038,-56.74817588458659,1.3893936522842032,0.25463743158264074,16,0.001713660549393925,0.0,0.06666666666666667,1,15,0.9833333333333334,0.001713660549393925,0.001713660549393925,speed
射击|S01|493.6,射击,S01,493.65,492.15,23.67511562702828,-57.07526769032297,0.8902208975212249,0.2261193304990945,16,0.021081934645544784,0.0,0.4666666666666667,7,15,0.5833333333333334,0.021081934645544784,0.021081934645544784,speed
