序号,目标编号,任务,开始准备时刻(s),任务执行时刻(s),距离(m),方向角(deg),速度(m/s),加速度(m/s2),稳定裕度
1,S03,射击,477.05,478.55,13.405,-92.82,1.62,0.257,0.066
2,S05,射击,480.85,482.35,23.237,-24.41,1.648,0.536,0.099
3,P11,拍照,493.25,493.75,27.639,-37.17,0.901,0.251,0.224
4,P03,拍照,493.85,494.35,23.057,-8.41,1.102,0.474,0.314
5,P10,拍照,494.45,494.95,29.969,-69.85,1.42,0.696,0.264
6,P01,拍照,508.75,509.25,33.486,-80.23,0.884,0.223,0.234
7,P02,拍照,509.45,509.95,29.928,-61.21,0.801,0.102,0.253
8,S16,射击,749.45,750.95,23.372,17.07,1.478,0.152,0.087
9,S15,射击,751.05,752.55,16.112,-4.48,1.891,0.56,0.206
