dataset,time_center,bx,by,bias_norm,window_points
附件3,476.5,1.8788760137522793,0.07841691687884567,1.8805117090585848,150
附件3,481.5,1.6520597035615179,0.14240580499372113,1.6581859598451798,150
附件3,486.5,1.8804450878171983,-0.19171009246145043,1.8901921827812664,150
附件3,491.5,0.6270474643953716,-0.5190298155741389,0.813990461897183,150
附件3,496.5,0.011831535942949611,-1.0467817095364707,1.046848571983009,150
附件3,501.5,-0.8657167223556437,-0.5563406529249448,1.0290677166557858,150
附件3,506.5,-0.41934113208256096,0.04813376745962117,0.42209459203612254,150
附件3,511.5,0.23598459184685355,0.4285424396798021,0.4892211669540095,150
附件3,516.5,0.33243895630828324,-0.21213022789958202,0.39435376663608684,150
附件3,521.5,-0.552672786447804,-1.0146869683555444,1.155437948412006,150
附件3,526.5,-1.0002870079221664,-0.9539354914672558,1.3822326215578749,150
附件3,531.5,-1.0002870079221664,-0.45870831034684656,1.100448732199342,150
附件3,536.5,0.42803862168676865,0.9207311343990341,1.0153634243497451,150
附件3,541.5,-0.3949285716050319,-0.27731855257393434,0.4825703640627891,150
附件3,546.5,-0.23628900177240375,0.4152262153148243,0.47775025090864354,150
附件3,551.5,-0.5453210369009938,0.1659849036071961,0.5700228254309341,150
附件3,556.5,-0.15628813260790153,-0.9910549712518506,1.00330251491615,150
附件3,561.5,0.13272402028190555,-1.5460047538351862,1.5516914527188665,150
附件3,566.5,0.5061337723123245,-1.7675547223812291,1.8385921494685242,150
附件3,571.5,0.5563295053229673,-0.7762400068802465,0.9550136474283196,150
附件3,576.5,-0.26277324157475945,-0.11246511269657677,0.28582893146349025,150
附件3,581.5,-1.467093275814623,-0.7885079554382596,1.6655652120916506,150
附件3,586.5,-1.0340894718252862,-0.47063745241784183,1.1361516832528373,150
附件3,591.5,-0.9980928300334249,-1.0341116573420095,1.4372112639465253,150
附件3,596.5,-0.0007281267831302785,-0.6479877519988513,0.6479881610871738,150
附件3,601.5,-0.0191512801023066,-1.1205203029433868,1.1206839522532195,150
附件3,606.5,0.11193707534010144,-1.028218534271712,1.0342936058274572,150
附件3,611.5,-0.3865585650751022,-1.1997801711586291,1.2605157608448818,150
附件3,616.5,-0.7747673377097879,0.6848749305510644,1.0340783810133727,150
附件3,621.5,-0.7861644646700476,0.6364963068123721,1.0115246482887759,150
附件3,626.5,-0.5797118051138845,0.5430552357211158,0.7943392008660501,150
附件3,631.5,-0.35372415068516005,0.24738141682405423,0.43164608207166005,150
附件3,636.5,0.14397326185070725,0.6456377647815086,0.6614955959339374,150
附件3,641.5,-0.32563652897603745,0.44664468631784615,0.5527482472333394,150
附件3,646.5,-0.26206883886560917,-0.11213183496269252,0.2850502143771675,150
附件3,651.5,-0.7550802924061135,-0.5190660819278357,0.9162837144618562,150
附件3,656.5,0.16594138229520272,-0.34910883850817953,0.3865404551694076,150
附件3,661.5,0.20022052014691916,-0.2995756217230259,0.36032458952816465,150
附件3,666.5,-0.02412240066227156,-0.2199490197364753,0.22126785012004693,150
附件3,671.5,-0.5312719690149112,-0.24904153551263164,0.5867466160715971,150
附件3,676.5,0.11239676504169793,-0.24125083463274777,0.2661484510622522,150
附件3,681.5,-0.3468120329647455,-1.0260641128815244,1.0830910164674479,150
附件3,686.5,-0.3468120329647455,-1.455809270708297,1.4965491034006748,150
附件3,691.5,-0.46385379629253265,-1.3389206422857272,1.4169928830709837,150
附件3,696.5,0.2318819404658896,0.05565295913244638,0.2384669498576776,150
附件3,701.5,0.6861618056708529,-0.30057636055457726,0.749108918706566,150
附件3,706.5,0.6441564618872029,0.05207844421253505,0.6462582392067722,150
附件3,711.5,0.10599106982823692,-0.0537873278530121,0.11885782902653744,150
附件3,716.5,0.2568519479651883,0.3191416887646703,0.4096636921684389,150
附件3,721.5,-0.04277093381882402,0.6336993532596438,0.6351411048746767,150
附件3,726.5,-1.5347047840012151,0.7603351818776982,1.7127254195688253,150
附件3,731.5,-1.7431287410485652,0.4676102603786596,1.8047595860615213,150
附件3,736.5,-1.8583981293758107,-0.044024244331252405,1.8589195091117987,150
附件3,741.5,-0.8691056824097387,-0.12224214150185753,0.8776604288424185,150
附件3,746.5,-0.19815004173191753,0.8368214308669408,0.8599613631998562,150
附件3,751.5,-0.0709742136219873,0.49579516722269545,0.5008494652494301,150
附件3,756.5,0.9967429336860381,-0.4937277356132945,1.1123234928593755,150
附件3,761.5,0.17267998999196754,-1.2475677442161306,1.2594616529899394,150
