plan_name,total_events,expected_shooting_hits,photo_targets_covered,combined_target_utility,mean_margin,min_margin,worst_margin,scenario_pass_rate,risk_count
A_task_utility_first,25,8.0997721875,6,14.0997721875,0.10684614605085833,0.003053626857507794,0.0,0.86,5
B_margin_first,21,6.399341874999999,5,11.399341875,0.13900061992249116,0.03365978833604366,0.0036597883360436623,0.9761904761904762,0
