strategy,source,sigma_norm,suggested_weight,trajectory_smoothness,selected_task_count,margin_sum
smooth_residual,source1,1.649231627389637,0.3615104429560636,,,
smooth_residual,source2,1.240981133750679,0.6384895570439365,,,
weight_profile,w1=0.20,,0.2,0.0001223010655024775,9.0,1.5370000000000001
weight_profile,w1=0.25,,0.25,0.00011627350872593906,9.0,1.023
weight_profile,w1=0.30,,0.30000000000000004,0.00011203699652623503,9.0,0.872
weight_profile,w1=0.35,,0.35000000000000003,0.00010959152890333609,9.0,1.682
weight_profile,w1=0.40,,0.4,0.00010893710585725977,9.0,1.7429999999999999
weight_profile,w1=0.45,,0.45000000000000007,0.00011007372738799676,9.0,1.7910000000000001
weight_profile,w1=0.50,,0.5,0.00011300139349555478,9.0,1.81
weight_profile,w1=0.55,,0.55,0.00011772010417993672,9.0,1.838
weight_profile,w1=0.60,,0.6000000000000001,0.00012422985944113084,9.0,1.7519999999999998
weight_profile,w1=0.65,,0.6500000000000001,0.00013253065927914913,9.0,1.799
weight_profile,w1=0.70,,0.7000000000000002,0.00014262250369398855,9.0,1.8920000000000001
weight_profile,w1=0.75,,0.7500000000000002,0.0001545053926856441,9.0,1.765
weight_profile,w1=0.80,,0.8,0.00016817932625411082,9.0,1.586
