序号,目标编号,任务,开始准备时刻(s),任务执行时刻(s),距离(m),方向角(deg),速度(m/s),加速度(m/s2),稳定裕度
1,S01,射击,478.85,480.35,13.691,-135.91,1.933,0.259,0.021
2,S03,射击,480.55,482.05,11.846,-66.71,1.676,0.274,0.021
3,P02,拍照,492.65,493.15,18.751,35.07,1.389,1.234,0.011
4,P03,拍照,493.25,493.75,23.486,-7.92,1.017,1.028,0.128
5,P10,拍照,493.85,494.35,29.204,-69.53,1.15,0.881,0.229
6,P11,拍照,494.55,495.05,27.441,-36.75,1.101,1.005,0.226
7,P04,拍照,495.25,495.75,32.91,8.87,1.436,0.607,0.043
8,S10,射击,506.65,508.15,8.941,33.07,1.243,1.487,0.009
9,P01,拍照,508.25,508.75,32.692,-81.57,0.804,0.695,0.134
