时间(s),X坐标(m),Y坐标(m),vx,vy,bias_x,bias_y
161.826,-4.063144395619034,5.054867176847928,0.14470572445329746,-0.13602171055027318,3.4754413888093216,-1.833650696576816
161.926,-4.047576146089292,5.040934340928208,0.1443335211199755,-0.13607780172999415,3.475441389176543,-1.833650696700229
162.026,-4.033607310166536,5.025287625289605,0.144076960896914,-0.13597921941704527,3.475441389544872,-1.8336506968240127
162.126,-4.024804994128701,5.006684827585396,0.14787939797880295,-0.13211688157007428,3.4754413897522904,-1.8336506963517385
162.226,-4.01600412759833,4.988087464122896,0.1516930714796613,-0.12824452426160377,3.4754413899592236,-1.833650695877667
162.326,-3.999393564694808,4.972224939778481,0.1546104860186551,-0.12263169824890365,3.475441391589182,-1.8336506941674333
162.426,-3.9818898868533625,4.9558246226569596,0.1572122334356012,-0.11650078079495038,3.4754413932234325,-1.8336506924534728
162.526,-3.9700970822667525,4.9398251575285075,0.16115096900606438,-0.10882334879503774,3.4754413923276246,-1.8336506912438773
162.626,-3.9542785793372044,4.9262046552306895,0.16515365152895384,-0.10035760530254992,3.475441391424188,-1.8336506900358027
162.726,-3.925918122528633,4.907534208473228,0.16427186279953496,-0.08833490745765633,3.475441394533396,-1.8336506908663812
162.826,-3.895970338242122,4.892036584581145,0.1606631424753798,-0.07515211822418205,3.4754413976547034,-1.8336506917031064
162.926,-3.87030102906224,4.879624471509093,0.15066205968979007,-0.058780865845131314,3.4754413992999695,-1.8336506921903928
163.026,-3.8410284181311094,4.870122251798169,0.140068873005497,-0.04247922990385417,3.475441400940785,-1.8336506926766256
163.126,-3.8132062104222366,4.872213101297158,0.11867654452212363,-0.030616583998366358,3.475441398772882,-1.8336506921937645
163.226,-3.785419421175111,4.874313987909415,0.09725659304187315,-0.01876665174549892,3.475441396593495,-1.8336506917079816
163.326,-3.770362752409503,4.8845387354872605,0.0730809414440434,-0.013418733384511557,3.4754413930396906,-1.8336506906849557
163.426,-3.7567005807420175,4.896085762946434,0.04827273758504914,-0.009927979939398071,3.4754413894817415,-1.83365068966031
163.526,-3.7501166054986754,4.912742279643728,0.022779422349767382,-0.012762802534943371,3.4754413857317163,-1.8336506874462417
163.626,-3.7496422964936458,4.932051640709437,-0.001954512676794775,-0.02194885618788264,3.475441381981112,-1.8336506852285874
163.726,-3.7509385088894254,4.947195745121536,-0.026236795814537743,-0.038258798959250245,3.475441378678507,-1.8336506840137798
163.826,-3.762458908136068,4.9595850649166255,-0.048286904445999757,-0.05763291214829229,3.4754413753772533,-1.833650682801996
163.926,-3.7810118476958205,4.96554151528864,-0.061707201177535045,-0.0847270227987586,3.475441371348751,-1.8336506829302115
164.026,-3.7970150668005456,4.966327351540548,-0.07506823467172272,-0.11176393250867443,3.475441367318055,-1.833650683062467
164.126,-3.811703368999101,4.946432722178512,-0.083546023189209,-0.13277865976048484,3.4754413614117166,-1.8336506849642948
164.226,-3.8264096855681604,4.9265199661686285,-0.09200939154263067,-0.15377589504922196,3.4754413554997226,-1.8336506868714582
164.326,-3.852664796971903,4.920749058595581,-0.09112408604049403,-0.1806117612541669,3.4754413487895963,-1.8336506856502965
164.426,-3.8812901568566205,4.917818149713847,-0.08752298580713135,-0.20927453192469483,3.4754413420770636,-1.8336506844197025
164.526,-3.910654024776948,4.900719452809988,-0.0767315243217242,-0.2392829950004945,3.4754413339361867,-1.8336506849850516
164.626,-3.9317364739612195,4.872939340138423,-0.06186554411480995,-0.2678655117509166,3.4754413257910035,-1.833650685555816
164.726,-3.9402242091535427,4.846352264115871,-0.04606734138366862,-0.29653504202263736,3.4754413212200777,-1.833650684529189
164.826,-3.944319739611538,4.809760782965361,-0.03055762311347541,-0.3233858673291156,3.4754413166599294,-1.8336506834977453
164.926,-3.9542080565985214,4.759274865599263,-0.011180598579215544,-0.3391724768869403,3.4754413093195637,-1.8336506853780135
165.026,-3.9631499907622207,4.707881648442892,0.008356605828466302,-0.3544989267775719,3.4754413019708155,-1.8336506872670606
165.126,-3.9718639874818664,4.643867890712154,0.034672082476111706,-0.34960289388475096,3.4754412936052392,-1.8336506924095872
165.226,-3.980585603837182,4.579823588582132,0.06100672441979712,-0.3446495648306902,3.475441285236597,-1.8336506975619238
165.326,-3.9649112010896994,4.539581358366327,0.0819794010403393,-0.33723554936444416,3.475441280085198,-1.8336506984223917
165.426,-3.9461940138271885,4.502519489380402,0.10126172133658232,-0.32943063535510997,3.4754412749435004,-1.8336506992699189
165.526,-3.9293910209992773,4.468269130575344,0.11838574180904997,-0.3210616769145984,3.4754412683561626,-1.8336506994414936
165.626,-3.9153418121114325,4.432354851626596,0.134683407322216,-0.31158258994927,3.475441261764466,-1.8336506996110302
165.726,-3.8933699431758777,4.390202040528169,0.14747753593899635,-0.2975748286211393,3.475441257129584,-1.8336507022579493
165.826,-3.8704651152946203,4.354437552464688,0.15868819406816256,-0.28271833748836456,3.4754412525006018,-1.833650704912338
165.926,-3.8488924506640974,4.320511529744537,0.16611423503391307,-0.264331270122979,3.475441247060199,-1.8336507080117443
166.026,-3.826741249976724,4.286804741445388,0.17337874954145727,-0.24575178590578572,3.4754412416173497,-1.8336507111124924
166.126,-3.7956164324379476,4.2500220881322415,0.17103479434266147,-0.21852760255532633,3.4754412385524827,-1.833650715613985
166.226,-3.764469564818997,4.213228274499321,0.16866316933242617,-0.1912789209291209,3.475441235494786,-1.8336507201197012
166.326,-3.7305016187840967,4.199365742871198,0.15668693071667303,-0.16703035477817402,3.4754412303310294,-1.833650721497551
166.426,-3.69351873130799,4.188110306174848,0.1418616670406713,-0.14379847700125484,3.475441225160923,-1.83365072286597
166.526,-3.661226393459359,4.180336419472528,0.12052214269278719,-0.12291880875777697,3.4754412195809756,-1.833650725401151
166.626,-3.6313796005479273,4.180813452972218,0.0938409906208974,-0.10615570387177697,3.475441213999793,-1.8336507279398497
166.726,-3.612317324173963,4.173223696073137,0.0631912893552079,-0.09062441580059163,3.475441205943677,-1.8336507338710872
166.826,-3.591667424137678,4.174091737826753,0.029518421783480703,-0.07746207253136868,3.4754411978800985,-1.8336507398125539
166.926,-3.5840629289490535,4.171984712002961,-0.007773541920793672,-0.0682899091391352,3.4754411861754684,-1.8336507479533837
